T_final,replication,n_train,n_test,c0_death,epsilon_selection,stage,n_admissible_treatments,percentage
7,6,2000,1000,-12.0,0.3,5,8,1.5
7,6,2000,1000,-12.0,0.3,5,9,1.0
7,6,2000,1000,-12.0,0.3,5,10,35.3
7,6,2000,1000,-12.0,0.3,6,1,16.7
7,6,2000,1000,-12.0,0.3,6,2,14.5
7,6,2000,1000,-12.0,0.3,6,3,12.3
7,6,2000,1000,-12.0,0.3,6,4,8.9
7,6,2000,1000,-12.0,0.3,6,5,5.7
7,6,2000,1000,-12.0,0.3,6,6,4.8
7,6,2000,1000,-12.0,0.3,6,7,2.3
7,6,2000,1000,-12.0,0.3,6,8,1.3
7,6,2000,1000,-12.0,0.3,6,9,1.0
7,6,2000,1000,-12.0,0.3,6,10,32.5
7,7,2000,1000,-12.0,0.3,0,2,3.0
7,7,2000,1000,-12.0,0.3,0,3,43.5
7,7,2000,1000,-12.0,0.3,0,4,25.3
7,7,2000,1000,-12.0,0.3,0,5,10.2
7,7,2000,1000,-12.0,0.3,0,6,6.9
7,7,2000,1000,-12.0,0.3,0,7,4.6
7,7,2000,1000,-12.0,0.3,0,8,1.3
7,7,2000,1000,-12.0,0.3,0,9,0.4
7,7,2000,1000,-12.0,0.3,0,10,4.8
7,7,2000,1000,-12.0,0.3,1,2,2.7
7,7,2000,1000,-12.0,0.3,1,3,16.9
7,7,2000,1000,-12.0,0.3,1,4,23.0
7,7,2000,1000,-12.0,0.3,1,5,13.2
7,7,2000,1000,-12.0,0.3,1,6,5.8
7,7,2000,1000,-12.0,0.3,1,7,4.3
7,7,2000,1000,-12.0,0.3,1,8,2.1
7,7,2000,1000,-12.0,0.3,1,9,1.7
7,7,2000,1000,-12.0,0.3,1,10,30.3
7,7,2000,1000,-12.0,0.3,2,1,2.7
7,7,2000,1000,-12.0,0.3,2,2,21.7
7,7,2000,1000,-12.0,0.3,2,3,22.6
7,7,2000,1000,-12.0,0.3,2,4,14.3
7,7,2000,1000,-12.0,0.3,2,5,6.9
7,7,2000,1000,-12.0,0.3,2,6,7.1
7,7,2000,1000,-12.0,0.3,2,7,4.2
7,7,2000,1000,-12.0,0.3,2,8,1.8
7,7,2000,1000,-12.0,0.3,2,9,1.1
7,7,2000,1000,-12.0,0.3,2,10,17.6
7,7,2000,1000,-12.0,0.3,3,1,9.1
7,7,2000,1000,-12.0,0.3,3,2,14.7
7,7,2000,1000,-12.0,0.3,3,3,9.6
7,7,2000,1000,-12.0,0.3,3,4,9.4
7,7,2000,1000,-12.0,0.3,3,5,6.2
7,7,2000,1000,-12.0,0.3,3,6,4.2
7,7,2000,1000,-12.0,0.3,3,7,4.6
7,7,2000,1000,-12.0,0.3,3,8,1.4
7,7,2000,1000,-12.0,0.3,3,9,1.1
7,7,2000,1000,-12.0,0.3,3,10,39.7
7,7,2000,1000,-12.0,0.3,4,1,15.8
7,7,2000,1000,-12.0,0.3,4,2,12.9
7,7,2000,1000,-12.0,0.3,4,3,10.2
7,7,2000,1000,-12.0,0.3,4,4,8.0
7,7,2000,1000,-12.0,0.3,4,5,4.6
7,7,2000,1000,-12.0,0.3,4,6,4.3
7,7,2000,1000,-12.0,0.3,4,7,2.6
7,7,2000,1000,-12.0,0.3,4,8,2.6
7,7,2000,1000,-12.0,0.3,4,9,1.2
